Fecha;B0;B1;B2;Tau
19/07/2024;0.13617947;-0.04603996;-0.03188511;3.7
18/07/2024;0.13446049;-0.04423674;-0.03108038;3.7
17/07/2024;0.13376046;-0.04341580;-0.03273603;3.7
16/07/2024;0.13521444;-0.04467004;-0.03581553;3.7
15/07/2024;0.13778800;-0.04331320;-0.04519825;3.7
12/07/2024;0.13207856;-0.04251023;-0.02338687;3.7
11/07/2024;0.13158624;-0.04158091;-0.02077361;3.7
10/07/2024;0.13007919;-0.04013366;-0.01595935;3.7
09/07/2024;0.12731832;-0.03709207;-0.01193054;3.7
08/07/2024;0.12888721;-0.03831049;-0.01717644;3.7
05/07/2024;0.13120429;-0.04051968;-0.02127500;3.7
04/07/2024;0.13764858;-0.04063827;-0.04532498;3.7
03/07/2024;0.14020966;-0.04767289;-0.04550302;3.7
02/07/2024;0.13842709;-0.04504950;-0.04036613;3.7
28/06/2024;0.13706000;-0.04491048;-0.03718047;3.7
27/06/2024;0.13674256;-0.04440495;-0.03608483;3.7
26/06/2024;0.13626665;-0.04352162;-0.03379770;3.7
25/06/2024;0.12561979;-0.03496129;-0.00839647;3.7
24/06/2024;0.13405740;-0.04300457;-0.02722915;3.7
21/06/2024;0.13391038;-0.04231155;-0.02440264;3.7
20/06/2024;0.13513448;-0.04353158;-0.02578663;3.7
19/06/2024;0.13526387;-0.04286031;-0.02879017;3.7
18/06/2024;0.13682521;-0.04354308;-0.03569336;3.7
17/06/2024;0.13157218;-0.03785498;-0.02142529;3.7
14/06/2024;0.13834351;-0.04479866;-0.03376082;3.7
13/06/2024;0.14302825;-0.04774529;-0.04602783;3.7
12/06/2024;0.14610788;-0.04898680;-0.06387724;3.7
11/06/2024;0.14270814;-0.04565698;-0.06035163;3.7
07/06/2024;0.14574159;-0.04773450;-0.06591477;3.7
06/06/2024;0.14301419;-0.04487904;-0.05788695;3.7
05/06/2024;0.14008205;-0.04204027;-0.05005322;3.7
04/06/2024;0.13984216;-0.04237349;-0.04852104;3.7
31/05/2024;0.12652212;-0.03252478;-0.01204027;3.7
30/05/2024;0.13212818;-0.03746289;-0.02095753;3.7
29/05/2024;0.13170534;-0.03646620;-0.02231434;3.7
28/05/2024;0.13197879;-0.03652236;-0.02513338;3.7
27/05/2024;0.13584296;-0.03986838;-0.03448447;3.7
24/05/2024;0.13548215;-0.03804092;-0.03830572;3.7
23/05/2024;0.13352559;-0.03768047;-0.03429266;3.7
22/05/2024;0.13187274;-0.03618931;-0.03496234;3.7
21/05/2024;0.13284209;-0.03682852;-0.03924681;3.7
20/05/2024;0.12958667;-0.03350858;-0.03363345;3.7
17/05/2024;0.12908397;-0.03339189;-0.03589084;3.7
16/05/2024;0.12837335;-0.03254221;-0.03640841;3.7
15/05/2024;0.12867321;-0.03332850;-0.03178262;3.7
14/05/2024;0.13005516;-0.03418785;-0.02871878;3.7
10/05/2024;0.13248620;-0.03610833;-0.03282908;3.7
09/05/2024;0.13017812;-0.03363746;-0.03524296;3.7
08/05/2024;0.12643574;-0.02936745;-0.03378691;3.7
07/05/2024;0.12611216;-0.02902040;-0.03245091;3.7
06/05/2024;0.12719510;-0.02938687;-0.03155633;3.7
03/05/2024;0.12552222;-0.02719889;-0.03120826;3.7
02/05/2024;0.12747064;-0.02809044;-0.03670691;3.7
30/04/2024;0.12587587;-0.02729736;-0.03010216;3.7
29/04/2024;0.12463811;-0.02700513;-0.02591281;3.7
26/04/2024;0.12377636;-0.02709959;-0.01653838;3.7
25/04/2024;0.12478190;-0.02767587;-0.01610948;3.7
24/04/2024;0.12414305;-0.02735138;-0.01969018;3.7
23/04/2024;0.12200195;-0.02524424;-0.02090933;3.7
22/04/2024;0.12229481;-0.02595748;-0.01857275;3.7
19/04/2024;0.12396785;-0.02629652;-0.01915918;3.7
18/04/2024;0.12738017;-0.02915503;-0.01724322;3.7
17/04/2024;0.12803782;-0.02926995;-0.01876941;3.7
16/04/2024;0.13126517;-0.03038513;-0.02210422;3.7
15/04/2024;0.12673891;-0.02879987;-0.01621972;3.7
12/04/2024;0.12832369;-0.02896954;-0.02922146;3.7
11/04/2024;0.12406732;-0.02736082;-0.00900384;3.7
10/04/2024;0.12443641;-0.02705891;-0.01861357;3.7
09/04/2024;0.12171837;-0.02639747;-0.02168220;3.7
08/04/2024;0.12138392;-0.02601142;-0.02255840;3.7
05/04/2024;0.11882112;-0.02570258;-0.02204397;3.7
04/04/2024;0.11823245;-0.02607640;-0.01846087;3.7
03/04/2024;0.12395729;-0.03247002;-0.02359003;3.7
02/04/2024;0.12593497;-0.03572890;-0.02367316;3.7
01/04/2024;0.12420428;-0.03478598;-0.02628166;3.7
27/03/2024;0.12194475;-0.03249675;-0.02713919;3.7
26/03/2024;0.12239171;-0.03356300;-0.02626723;3.7
22/03/2024;0.12024650;-0.03187855;-0.02463969;3.7
21/03/2024;0.12092788;-0.03194659;-0.02655760;3.7
20/03/2024;0.12236436;-0.03177184;-0.03127753;3.7
19/03/2024;0.12438642;-0.03266048;-0.03597070;3.7
18/03/2024;0.12636515;-0.03286516;-0.03940097;3.7
15/03/2024;0.12652013;-0.03259757;-0.04355230;3.7
14/03/2024;0.12628908;-0.03168947;-0.04369145;3.7
13/03/2024;0.12636554;-0.03174480;-0.04701960;3.7
12/03/2024;0.12632415;-0.03121967;-0.04735740;3.7
11/03/2024;0.12501840;-0.03006196;-0.04803504;3.7
08/03/2024;0.12493460;-0.02971923;-0.05061451;3.7
07/03/2024;0.12550117;-0.03004726;-0.05282954;3.7
06/03/2024;0.12631454;-0.03056208;-0.05285366;3.7
05/03/2024;0.12654116;-0.03012009;-0.05691968;3.7
04/03/2024;0.13018269;-0.03039811;-0.06910590;3.7
01/03/2024;0.12875804;-0.03233894;-0.06162429;3.7
29/02/2024;0.12502256;-0.02959985;-0.05081920;3.7
28/02/2024;0.13095480;-0.03554388;-0.06101267;3.7
27/02/2024;0.12991104;-0.03337395;-0.06245462;3.7
26/02/2024;0.12938127;-0.03193220;-0.06408584;3.7
23/02/2024;0.12735776;-0.03106020;-0.05859906;3.7
22/02/2024;0.12790961;-0.02952285;-0.06413794;3.7
21/02/2024;0.12484320;-0.02849018;-0.05770014;3.7
20/02/2024;0.12571902;-0.02804381;-0.06398137;3.7
19/02/2024;0.12444774;-0.02718250;-0.06169474;3.7
16/02/2024;0.12410012;-0.02697150;-0.06072274;3.7
15/02/2024;0.12314275;-0.02543353;-0.05944062;3.7
14/02/2024;0.12317165;-0.02480604;-0.05729515;3.7
13/02/2024;0.12531288;-0.02665930;-0.06058796;3.7
12/02/2024;0.12331581;-0.02528303;-0.05948986;3.7
09/02/2024;0.12457217;-0.02667810;-0.06253800;3.7
08/02/2024;0.12593704;-0.02962520;-0.05786226;3.7
07/02/2024;0.12460329;-0.02744492;-0.05952899;3.7
06/02/2024;0.12623636;-0.02821970;-0.06124412;3.7
05/02/2024;0.12869070;-0.03038026;-0.06029067;3.7
02/02/2024;0.12272335;-0.02495102;-0.05619967;3.7
01/02/2024;0.12085095;-0.02323801;-0.06264182;3.7
31/01/2024;0.12170285;-0.02395176;-0.06211742;3.7
30/01/2024;0.12256639;-0.02419339;-0.06114563;3.7
29/01/2024;0.12168172;-0.02291146;-0.05905279;3.7
26/01/2024;0.12056674;-0.02134052;-0.05706056;3.7
25/01/2024;0.11979271;-0.02031880;-0.05674131;3.7
24/01/2024;0.12086856;-0.02012510;-0.05995425;3.7
23/01/2024;0.12122644;-0.02023343;-0.05970824;3.7
22/01/2024;0.12086083;-0.01940604;-0.06046670;3.7
19/01/2024;0.12240554;-0.02027190;-0.06159103;3.7
18/01/2024;0.11976740;-0.01815676;-0.05852611;3.7
17/01/2024;0.12111727;-0.01919145;-0.06128743;3.7
16/01/2024;0.11893135;-0.01685828;-0.06073769;3.7
15/01/2024;0.12008411;-0.01743561;-0.06447817;3.7
12/01/2024;0.11995576;-0.01723960;-0.06304199;3.7
11/01/2024;0.12143383;-0.01823595;-0.06372995;3.7
10/01/2024;0.12314613;-0.02037039;-0.06270704;3.7
09/01/2024;0.12583152;-0.02061592;-0.06515461;3.7
05/01/2024;0.12402844;-0.01936849;-0.05756706;3.7
04/01/2024;0.12538354;-0.02071899;-0.05797759;3.7
03/01/2024;0.12456518;-0.01897917;-0.05896605;3.7
02/01/2024;0.12130916;-0.01649878;-0.05318833;3.7
28/12/2023;0.11918927;-0.01434765;-0.05321273;3.7
27/12/2023;0.12061385;-0.01342506;-0.06037764;3.7
26/12/2023;0.11737445;-0.01481628;-0.04272012;3.7
22/12/2023;0.11847550;-0.01375841;-0.05159040;3.7
21/12/2023;0.12189102;-0.01714164;-0.05500679;3.7
20/12/2023;0.11964330;-0.01490348;-0.05209564;3.7
19/12/2023;0.12074515;-0.01585102;-0.04985941;3.7
18/12/2023;0.12475410;-0.01958006;-0.05313649;3.7
15/12/2023;0.12430670;-0.01870330;-0.05079813;3.7
14/12/2023;0.12359360;-0.01780269;-0.04949440;3.7
13/12/2023;0.12874265;-0.02111596;-0.05104419;3.7
12/12/2023;0.13099950;-0.02230117;-0.05196888;3.7
11/12/2023;0.13152016;-0.02313482;-0.05395535;3.7
07/12/2023;0.13023539;-0.02186727;-0.05590275;3.7
06/12/2023;0.12917624;-0.02038412;-0.05607929;3.7
05/12/2023;0.12970961;-0.02037187;-0.05545951;3.7
04/12/2023;0.12069322;-0.01595063;-0.02817976;3.7
01/12/2023;0.12407465;-0.01796129;-0.03741454;3.7
30/11/2023;0.12483477;-0.01900886;-0.03892138;3.7
29/11/2023;0.12378992;-0.01834582;-0.04174372;3.7
28/11/2023;0.13246331;-0.02012877;-0.06644777;3.7
27/11/2023;0.13012979;-0.01737052;-0.06184031;3.7
24/11/2023;0.12481327;-0.01753113;-0.03849868;3.7
23/11/2023;0.12311119;-0.01630360;-0.03727543;3.7
22/11/2023;0.12145715;-0.01468657;-0.03871179;3.7
21/11/2023;0.12179346;-0.01474576;-0.03972113;3.7
20/11/2023;0.12328040;-0.01671982;-0.03544379;3.7
17/11/2023;0.12258095;-0.01592690;-0.03306728;3.7
16/11/2023;0.12000285;-0.01265270;-0.03200919;3.7
15/11/2023;0.11954748;-0.01134551;-0.02910172;3.7
14/11/2023;0.12076210;-0.01262963;-0.02910104;3.7
10/11/2023;0.12213019;-0.01428466;-0.02264401;3.7
09/11/2023;0.11978885;-0.01302660;-0.02396416;3.7
08/11/2023;0.11937741;-0.01220769;-0.02171329;3.7
07/11/2023;0.12198665;-0.01291466;-0.02410706;3.7
03/11/2023;0.12054288;-0.01145968;-0.02317975;3.7
02/11/2023;0.12324028;-0.01386560;-0.02244066;3.7
01/11/2023;0.12646495;-0.01662270;-0.01794780;3.7
31/10/2023;0.12889411;-0.01997213;-0.01417305;3.7
30/10/2023;0.12600037;-0.01877915;-0.00467127;3.7
27/10/2023;0.12509775;-0.01743363;-0.00237196;3.7
26/10/2023;0.12694082;-0.01906806;-0.00257149;3.7
25/10/2023;0.13672818;-0.01989454;-0.03455403;3.7
24/10/2023;0.12633769;-0.01859009;0.00149921;3.7
23/10/2023;0.13382192;-0.01925432;-0.03067077;3.7
20/10/2023;0.13119215;-0.01702695;-0.02969431;3.7
19/10/2023;0.13090401;-0.01555797;-0.02738010;3.7
18/10/2023;0.13045426;-0.01436914;-0.02501792;3.7
17/10/2023;0.12300644;-0.01552563;0.00301964;3.7
13/10/2023;0.13155770;-0.01761010;-0.03197231;3.7
12/10/2023;0.13049914;-0.01454354;-0.03389801;3.7
11/10/2023;0.12385423;-0.01906427;0.00126557;3.7
10/10/2023;0.12716104;-0.02243002;0.00445682;3.7
09/10/2023;0.14034331;-0.02508223;-0.03276015;3.7
06/10/2023;0.13452733;-0.02610655;-0.00714820;3.7
05/10/2023;0.12593767;-0.02118602;0.00451551;3.7
04/10/2023;0.12705826;-0.02274207;0.00341914;3.7
03/10/2023;0.12805880;-0.02313109;0.00518012;3.7
02/10/2023;0.12613355;-0.02308170;0.00323973;3.7
29/09/2023;0.12620465;-0.02333300;0.00180814;3.7
28/09/2023;0.13214104;-0.02721693;-0.00118920;3.7
27/09/2023;0.13231394;-0.02657102;-0.00263291;3.7
26/09/2023;0.12762232;-0.02245993;-0.00561333;3.7
25/09/2023;0.12634529;-0.02186706;-0.00757938;3.7
22/09/2023;0.12182213;-0.01948989;-0.00749179;3.7
21/09/2023;0.12252421;-0.01979042;-0.00942209;3.7
20/09/2023;0.11872689;-0.01735663;-0.00847887;3.7
19/09/2023;0.11755168;-0.01637822;-0.00793346;3.7
18/09/2023;0.11561583;-0.01541861;-0.00659094;3.7
15/09/2023;0.11488120;-0.01453945;-0.00274321;3.7
14/09/2023;0.11261974;-0.01290638;-0.00061601;3.7
13/09/2023;0.11280021;-0.01338446;0.00122409;3.7
12/09/2023;0.11397856;-0.01321012;0.00055690;3.7
11/09/2023;0.11485147;-0.01482022;-0.00024851;3.7
08/09/2023;0.11516998;-0.01691248;-0.00227660;3.7
07/09/2023;0.11725465;-0.02048741;-0.00356991;3.7
06/09/2023;0.11774971;-0.01977025;-0.00198606;3.7
05/09/2023;0.11729043;-0.02020626;-0.00456806;3.7
04/09/2023;0.11733922;-0.02326246;-0.00435114;3.7
01/09/2023;0.11642625;-0.02323326;-0.00381813;3.7
31/08/2023;0.11623010;-0.02457257;-0.00280434;3.7
30/08/2023;0.11479606;-0.02412594;-0.00177025;3.7
29/08/2023;0.11475234;-0.02397823;-0.00120703;3.7
28/08/2023;0.11528258;-0.02602789;0.00304554;3.7
25/08/2023;0.11536560;-0.02457758;0.00363141;3.7
24/08/2023;0.11408746;-0.02098815;0.00417171;3.7
23/08/2023;0.11608531;-0.02254334;0.00157745;3.7
22/08/2023;0.11728034;-0.02337836;0.00449534;3.7
18/08/2023;0.11665524;-0.02228395;0.00333628;3.7
17/08/2023;0.11650622;-0.02151718;0.00156796;3.7
16/08/2023;0.11363598;-0.01676187;-0.00394171;3.7
15/08/2023;0.11358156;-0.01629765;-0.00663961;3.7
14/08/2023;0.11298852;-0.01544376;-0.00686015;3.7
11/08/2023;0.11127083;-0.01248741;-0.01011039;3.7
10/08/2023;0.10960571;-0.00963083;-0.01154985;3.7
09/08/2023;0.11118500;-0.01041611;-0.01242929;3.7
08/08/2023;0.11071647;-0.01003607;-0.01469167;3.7
04/08/2023;0.11232237;-0.01274407;-0.01230355;3.7
03/08/2023;0.11396636;-0.01367321;-0.00999314;3.7
02/08/2023;0.11162975;-0.01096020;-0.01148801;3.7
01/08/2023;0.11022532;-0.00887348;-0.01443152;3.7
31/07/2023;0.10931269;-0.00912918;-0.01411415;3.7
28/07/2023;0.11007012;-0.00727220;-0.01444885;3.7
27/07/2023;0.11160226;-0.00937586;-0.01650505;3.7
26/07/2023;0.11126778;-0.00916025;-0.01654159;3.7
25/07/2023;0.11217539;-0.01029804;-0.01532608;3.7
24/07/2023;0.11216319;-0.01093291;-0.02151186;3.7
21/07/2023;0.11086364;-0.01045087;-0.02203570;3.7
19/07/2023;0.11093389;-0.01031578;-0.02333746;3.7
18/07/2023;0.11033754;-0.00980990;-0.02584946;3.7
17/07/2023;0.11057478;-0.01003762;-0.02423848;3.7
14/07/2023;0.10958586;-0.00819607;-0.02821579;3.7
13/07/2023;0.11011851;-0.00661252;-0.03381999;3.7
12/07/2023;0.10925315;-0.00431890;-0.03495369;3.7
11/07/2023;0.11300536;-0.00591661;-0.04112066;3.7
10/07/2023;0.11571784;-0.00817548;-0.04163022;3.7
07/07/2023;0.11647786;-0.00814234;-0.04033272;3.7
06/07/2023;0.11716347;-0.00874298;-0.03989744;3.7
05/07/2023;0.11474155;-0.00628180;-0.04291733;3.7
04/07/2023;0.11415073;-0.00550869;-0.04224522;3.7
30/06/2023;0.11475077;-0.00709226;-0.03872893;3.7
29/06/2023;0.11496000;-0.00746971;-0.03483420;3.7
28/06/2023;0.11628602;-0.00909272;-0.04007055;3.7
27/06/2023;0.12146655;-0.01441586;-0.04655243;3.7
26/06/2023;0.12112270;-0.01383561;-0.04529914;3.7
23/06/2023;0.12135342;-0.01399891;-0.04209037;3.7
22/06/2023;0.11982706;-0.01298275;-0.04170701;3.7
21/06/2023;0.12060727;-0.01475088;-0.04077386;3.7
20/06/2023;0.12061400;-0.01489509;-0.03978775;3.7
16/06/2023;0.12037454;-0.01394814;-0.03327386;3.7
15/06/2023;0.12069556;-0.01427008;-0.02954881;3.7
14/06/2023;0.11788138;-0.01084097;-0.02848676;3.7
13/06/2023;0.11644212;-0.00906736;-0.02886681;3.7
09/06/2023;0.11734427;-0.01035760;-0.02881021;3.7
08/06/2023;0.11877488;-0.01158599;-0.02883627;3.7
07/06/2023;0.11959664;-0.01061962;-0.02451206;3.7
06/06/2023;0.12000421;-0.01063748;-0.02423404;3.7
05/06/2023;0.12046996;-0.01252482;-0.02200621;3.7
02/06/2023;0.12175194;-0.01372341;-0.01906214;3.7
01/06/2023;0.12009156;-0.01116447;-0.01642140;3.7
31/05/2023;0.11996069;-0.01115416;-0.01790412;3.7
30/05/2023;0.12064016;-0.01179257;-0.01855303;3.7
29/05/2023;0.12121654;-0.01241713;-0.01609913;3.7
26/05/2023;0.12427710;-0.01487344;-0.01613759;3.7
25/05/2023;0.12281150;-0.01395860;-0.01355332;3.7
24/05/2023;0.12229463;-0.01326846;-0.01474509;3.7
23/05/2023;0.12305418;-0.01449106;-0.01459571;3.7
19/05/2023;0.12231191;-0.01309494;-0.01789025;3.7
18/05/2023;0.12118494;-0.01209155;-0.01963329;3.7
17/05/2023;0.11951002;-0.01087830;-0.02106300;3.7
16/05/2023;0.12265752;-0.01391883;-0.02632030;3.7
15/05/2023;0.12356835;-0.01471501;-0.02685837;3.7
12/05/2023;0.12549052;-0.01625365;-0.02416809;3.7
11/05/2023;0.12648851;-0.01679662;-0.02547070;3.7
10/05/2023;0.12566284;-0.01622957;-0.02195330;3.7
09/05/2023;0.12470238;-0.01451179;-0.02048582;3.7
08/05/2023;0.12492571;-0.01499820;-0.02129936;3.7
05/05/2023;0.12684517;-0.01693199;-0.02099501;3.7
04/05/2023;0.12801962;-0.01724899;-0.01631310;3.7
03/05/2023;0.12929107;-0.01724711;-0.01790350;3.7
02/05/2023;0.13266379;-0.01903895;-0.01879162;3.7
28/04/2023;0.13254298;-0.01964137;-0.02463712;3.7
27/04/2023;0.13115047;-0.01838841;-0.02028228;3.7
26/04/2023;0.12974792;-0.01777694;-0.02871823;3.7
25/04/2023;0.12366126;-0.01323501;-0.02133884;3.7
24/04/2023;0.12515561;-0.01472555;-0.01902549;3.7
21/04/2023;0.12694958;-0.01609266;-0.02142690;3.7
20/04/2023;0.12728645;-0.01519891;-0.02278335;3.7
19/04/2023;0.12714036;-0.01544994;-0.02068538;3.7
18/04/2023;0.12634665;-0.01487314;-0.01998558;3.7
17/04/2023;0.12472199;-0.01496600;-0.01227743;3.7
14/04/2023;0.12397177;-0.01428620;-0.01441128;3.7
13/04/2023;0.12435520;-0.01611452;-0.01220450;3.7
12/04/2023;0.12702585;-0.01929570;-0.01246270;3.7
11/04/2023;0.12843071;-0.02029036;-0.01025513;3.7
10/04/2023;0.13007704;-0.02251862;-0.01213537;3.7
05/04/2023;0.12455403;-0.01796582;-0.01153291;3.7
04/04/2023;0.12679884;-0.02011276;-0.01698103;3.7
03/04/2023;0.12779375;-0.02120887;-0.01537234;3.7
31/03/2023;0.12980702;-0.02380868;-0.00757256;3.7
30/03/2023;0.13360403;-0.02608265;-0.01445817;3.7
29/03/2023;0.13313975;-0.02596982;-0.01240070;3.7
28/03/2023;0.13450745;-0.02729245;-0.01231510;3.7
27/03/2023;0.13511316;-0.02749257;-0.01637373;3.7
24/03/2023;0.13690554;-0.03043916;-0.01661410;3.7
23/03/2023;0.13740521;-0.03110366;-0.01727642;3.7
22/03/2023;0.13819211;-0.03218760;-0.00820877;3.7
21/03/2023;0.13831838;-0.03155174;-0.00939041;3.7
17/03/2023;0.13696199;-0.03066791;-0.00282036;3.7
