Fecha;B0;B1;B2;Tau
19/07/2024;5.46928689;-2.77063258;4.19551857;2.3
18/07/2024;5.49376219;-2.45725793;3.51136121;2.3
17/07/2024;5.36208013;-2.68083352;4.50253543;2.3
16/07/2024;5.31563249;-2.73765373;4.65913065;2.3
15/07/2024;5.37750960;-2.07082156;3.37697027;2.3
12/07/2024;5.17811640;-2.63730913;4.64300378;2.3
11/07/2024;5.15012146;-2.58986386;4.63671830;2.3
10/07/2024;5.13883789;-2.51981121;4.67295984;2.3
09/07/2024;5.19473954;-2.38354314;4.17189391;2.3
08/07/2024;5.21368119;-2.07273673;3.70467023;2.3
05/07/2024;5.24253631;-2.20853599;3.74163977;2.3
04/07/2024;5.22371935;-2.31198677;4.04414703;2.3
03/07/2024;5.16398707;-2.47296089;4.51012328;2.3
02/07/2024;5.35777944;-0.86891513;1.39890672;2.3
28/06/2024;5.08552979;-2.88783447;5.01827409;2.3
27/06/2024;5.02983763;-3.04459227;5.42754179;2.3
26/06/2024;5.06154006;-2.96827585;5.29018281;2.3
25/06/2024;5.05065238;-3.07614871;5.37357492;2.3
24/06/2024;5.05939560;-3.09318445;5.33668835;2.3
21/06/2024;5.11082699;-3.10053842;5.37790473;2.3
20/06/2024;5.16219927;-3.08035411;5.31796717;2.3
19/06/2024;5.16307107;-2.94179126;5.15752735;2.3
18/06/2024;5.12234763;-2.61888162;4.58419636;2.3
17/06/2024;5.19789359;-2.59073646;4.38895440;2.3
14/06/2024;5.14600880;-2.38503341;4.30533621;2.3
13/06/2024;5.35047569;-2.35727621;3.65283529;2.3
12/06/2024;5.29217696;-2.12614050;3.22326509;2.3
11/06/2024;5.26793403;-1.91301208;2.72534275;2.3
07/06/2024;5.23744707;-1.80559758;2.70424055;2.3
06/06/2024;5.29797027;-1.72232715;2.53621167;2.3
05/06/2024;5.29998737;-1.69927915;2.44781496;2.3
04/06/2024;5.23923626;-1.54719654;2.23079894;2.3
31/05/2024;5.34081046;-1.64827720;2.27110393;2.3
30/05/2024;5.31047806;-1.63060031;2.52719985;2.3
29/05/2024;5.34499306;-1.62870470;2.52486593;2.3
28/05/2024;5.35537606;-1.64319981;2.64995507;2.3
27/05/2024;5.39856031;-1.82110500;2.68351826;2.3
24/05/2024;5.48650144;-1.17908113;1.46145231;2.3
23/05/2024;5.35269172;-1.93127333;2.69538817;2.3
22/05/2024;5.43621930;-1.92982855;2.39025452;2.3
21/05/2024;5.35611915;-1.96718598;2.97320481;2.3
20/05/2024;5.36175829;-1.82399921;2.66318600;2.3
17/05/2024;5.30876810;-1.67874711;2.41074479;2.3
16/05/2024;5.30355099;-1.67818293;2.54091147;2.3
15/05/2024;5.32894981;-1.88097555;2.90876386;2.3
14/05/2024;5.52311385;-2.16375315;3.16873954;2.3
10/05/2024;5.56835835;-2.08137737;3.00026292;2.3
09/05/2024;5.40034615;-2.10478651;2.94418058;2.3
08/05/2024;5.35054800;-1.98138560;2.58362098;2.3
07/05/2024;5.25768318;-2.10317214;2.91739438;2.3
