Fecha;Excepción;Plazo real;IBR
10/07/2024;N;1;11,251
09/07/2024;N;1;11,254
08/07/2024;N;1;11,249
05/07/2024;N;3;11,247
04/07/2024;N;1;11,255
03/07/2024;N;1;11,244
02/07/2024;N;1;11,253
28/06/2024;N;4;11,740
27/06/2024;N;1;11,748
26/06/2024;N;1;11,754
25/06/2024;N;1;11,754
24/06/2024;N;1;11,754
21/06/2024;N;3;11,750
20/06/2024;N;1;11,754
19/06/2024;N;1;11,752
18/06/2024;N;1;11,751
17/06/2024;N;1;11,757
14/06/2024;N;3;11,753
13/06/2024;N;1;11,757
12/06/2024;N;1;11,754
11/06/2024;N;1;11,754
07/06/2024;N;4;11,748
06/06/2024;N;1;11,754
05/06/2024;N;1;11,754
04/06/2024;N;1;11,750
31/05/2024;N;4;11,740
30/05/2024;N;1;11,754
29/05/2024;N;1;11,754
28/05/2024;N;1;11,761
27/05/2024;N;1;11,767
24/05/2024;N;3;11,755
23/05/2024;N;1;11,755
22/05/2024;N;1;11,754
21/05/2024;N;1;11,754
20/05/2024;N;1;11,752
17/05/2024;N;3;11,749
16/05/2024;N;1;11,751
15/05/2024;N;1;11,741
14/05/2024;N;1;11,746
10/05/2024;N;4;11,744
09/05/2024;N;1;11,750
08/05/2024;N;1;11,750
07/05/2024;N;1;11,750
06/05/2024;N;1;11,750
03/05/2024;N;3;11,741
02/05/2024;N;1;11,748
30/04/2024;N;2;12,245
29/04/2024;N;1;12,242
26/04/2024;N;3;12,239
25/04/2024;N;1;12,251
24/04/2024;N;1;12,251
23/04/2024;N;1;12,242
22/04/2024;N;1;12,242
19/04/2024;N;3;12,238
18/04/2024;N;1;12,250
17/04/2024;N;1;12,250
16/04/2024;N;1;12,248
15/04/2024;N;1;12,245
12/04/2024;N;3;12,199
11/04/2024;N;1;12,236
10/04/2024;N;1;12,222
09/04/2024;N;1;12,138
08/04/2024;N;1;12,185
05/04/2024;N;3;12,228
04/04/2024;N;1;12,247
03/04/2024;N;1;12,252
02/04/2024;N;1;12,251
01/04/2024;N;1;12,251
27/03/2024;N;5;12,231
26/03/2024;N;1;12,251
22/03/2024;N;4;12,731
21/03/2024;N;1;12,739
20/03/2024;N;1;12,752
19/03/2024;N;1;12,752
18/03/2024;N;1;12,752
15/03/2024;N;3;12,747
14/03/2024;N;1;12,750
13/03/2024;N;1;12,749
12/03/2024;N;1;12,725
11/03/2024;N;1;12,738
08/03/2024;N;3;12,714
07/03/2024;N;1;12,708
06/03/2024;N;1;12,732
