Fecha;Excepción;Plazo real (días calendario);IBR_efectiva_porc;IBR_nominal_porc
02/01/2020;N;1;4,259;4,114
03/01/2020;N;4;4,260;4,116
07/01/2020;N;1;4,257;4,112
08/01/2020;N;1;4,254;4,109
09/01/2020;N;1;4,255;4,110
10/01/2020;N;3;4,256;4,112
13/01/2020;N;1;4,255;4,110
14/01/2020;N;1;4,252;4,107
15/01/2020;N;1;4,252;4,107
16/01/2020;N;1;4,252;4,107
17/01/2020;N;3;4,251;4,107
20/01/2020;N;1;4,250;4,105
21/01/2020;N;1;4,252;4,107
22/01/2020;N;1;4,252;4,107
23/01/2020;N;1;4,253;4,108
24/01/2020;N;3;4,252;4,108
27/01/2020;N;1;4,254;4,109
28/01/2020;N;1;4,254;4,109
29/01/2020;N;1;4,254;4,109
30/01/2020;N;1;4,252;4,107
31/01/2020;N;3;4,253;4,109
03/02/2020;N;1;4,254;4,109
04/02/2020;N;1;4,252;4,107
05/02/2020;N;1;4,253;4,108
06/02/2020;N;1;4,253;4,108
07/02/2020;N;3;4,252;4,108
10/02/2020;N;1;4,251;4,106
11/02/2020;N;1;4,252;4,107
12/02/2020;N;1;4,250;4,105
13/02/2020;N;1;4,251;4,106
14/02/2020;N;3;4,250;4,106
17/02/2020;N;1;4,253;4,108
18/02/2020;N;1;4,251;4,106
19/02/2020;N;1;4,250;4,105
20/02/2020;N;1;4,253;4,108
21/02/2020;N;3;4,250;4,106
24/02/2020;N;1;4,250;4,105
25/02/2020;N;1;4,250;4,105
26/02/2020;N;1;4,251;4,106
27/02/2020;N;1;4,250;4,105
28/02/2020;N;3;4,252;4,108
02/03/2020;N;1;4,253;4,108
03/03/2020;N;1;4,250;4,105
04/03/2020;N;1;4,253;4,108
05/03/2020;N;1;4,252;4,107
06/03/2020;N;3;4,251;4,107
09/03/2020;N;1;4,254;4,109
10/03/2020;N;1;4,255;4,110
11/03/2020;N;1;4,252;4,107
12/03/2020;N;1;4,250;4,105
13/03/2020;N;3;4,251;4,107
16/03/2020;N;1;4,252;4,107
17/03/2020;N;1;4,247;4,103
18/03/2020;N;1;4,239;4,095
19/03/2020;N;1;4,231;4,087
20/03/2020;N;4;4,185;4,045
24/03/2020;N;1;4,149;4,010
25/03/2020;N;1;4,112;3,975
26/03/2020;N;1;4,038;3,905
27/03/2020;N;3;3,906;3,780
30/03/2020;N;1;3,717;3,600
31/03/2020;N;1;3,670;3,555
01/04/2020;N;1;3,647;3,533
02/04/2020;N;1;3,717;3,600
03/04/2020;N;3;3,710;3,593
06/04/2020;N;1;3,612;3,500
07/04/2020;N;1;3,571;3,461
08/04/2020;N;5;3,575;3,465
13/04/2020;N;1;3,516;3,408
14/04/2020;N;1;3,591;3,480
15/04/2020;N;1;3,633;3,520
16/04/2020;N;1;3,678;3,563
17/04/2020;N;3;3,707;3,591
20/04/2020;N;1;3,707;3,590
