A_M;Fecha_num;Infl_anual_porc
1/07/1955;20271;-0.87
1/08/1955;20302;-0.01
1/09/1955;20333;0.84
1/10/1955;20363;0.77
1/11/1955;20394;1.44
1/12/1955;20424;2.03
1/01/1956;20455;2.1
1/02/1956;20486;2.57
1/03/1956;20515;3.1
1/04/1956;20546;3.04
1/05/1956;20576;4.25
1/06/1956;20607;5.28
1/07/1956;20637;6.36
1/08/1956;20668;5.76
1/09/1956;20699;7.26
1/10/1956;20729;8.31
1/11/1956;20760;8.83
1/12/1956;20790;7.91
1/01/1957;20821;9.3
1/02/1957;20852;10.3
1/03/1957;20880;11.21
1/04/1957;20911;12.97
1/05/1957;20941;13.58
1/06/1957;20972;17.15
1/07/1957;21002;19.39
1/08/1957;21033;21.43
1/09/1957;21064;20.93
1/10/1957;21094;21.17
1/11/1957;21125;19.84
1/12/1957;21155;20.69
1/01/1958;21186;19.46
1/02/1958;21217;18.05
1/03/1958;21245;17.86
1/04/1958;21276;17.24
1/05/1958;21306;18.06
1/06/1958;21337;13.9
1/07/1958;21367;10.99
1/08/1958;21398;10.47
1/09/1958;21429;10.14
1/10/1958;21459;8.92
1/11/1958;21490;8.54
1/12/1958;21520;7.98
1/01/1959;21551;9.47
1/02/1959;21582;10.34
1/03/1959;21610;9.09
1/04/1959;21641;8.96
1/05/1959;21671;7.62
1/06/1959;21702;7.87
1/07/1959;21732;8.41
1/08/1959;21763;7.78
1/09/1959;21794;7.23
1/10/1959;21824;7.14
1/11/1959;21855;7.42
1/12/1959;21885;7.81
1/01/1960;21916;6.52
1/02/1960;21947;5.24
1/03/1960;21976;6.14
1/04/1960;22007;5.49
1/05/1960;22037;5.52
1/06/1960;22068;4.93
1/07/1960;22098;4.79
1/08/1960;22129;4.96
1/09/1960;22160;5.57
1/10/1960;22190;6.12
1/11/1960;22221;7.13
1/12/1960;22251;7.35
1/01/1961;22282;7.59
1/02/1961;22313;8.36
1/03/1961;22341;8.7
1/04/1961;22372;9.87
1/05/1961;22402;10.23
1/06/1961;22433;10.27
1/07/1961;22463;10.03
1/08/1961;22494;8.4
1/09/1961;22525;7.47
1/10/1961;22555;6.81
1/11/1961;22586;6.13
1/12/1961;22616;5.74
1/01/1962;22647;5.63
1/02/1962;22678;5.29
1/03/1962;22706;4.54
1/04/1962;22737;3.66
1/05/1962;22767;2.63
1/06/1962;22798;2.57
1/07/1962;22828;3.3
1/08/1962;22859;4.55
1/09/1962;22890;5.85
1/10/1962;22920;6.01
1/11/1962;22951;6.15
1/12/1962;22981;6.3
1/01/1963;23012;9.79
1/02/1963;23043;16.34
1/03/1963;23071;21.29
1/04/1963;23102;25.08
1/05/1963;23132;26.52
1/06/1963;23163;29.24
1/07/1963;23193;28.99
1/08/1963;23224;29.28
1/09/1963;23255;29.83
1/10/1963;23285;31.55
1/11/1963;23316;33.44
1/12/1963;23346;33.6
