Fecha;TRM
01/01/2020;$ 3,277.14
02/01/2020;$ 3,277.14
03/01/2020;$ 3,258.84
04/01/2020;$ 3,262.05
05/01/2020;$ 3,262.05
06/01/2020;$ 3,262.05
07/01/2020;$ 3,262.05
08/01/2020;$ 3,264.26
09/01/2020;$ 3,254.42
10/01/2020;$ 3,253.89
11/01/2020;$ 3,272.62
12/01/2020;$ 3,272.62
13/01/2020;$ 3,272.62
14/01/2020;$ 3,288.05
15/01/2020;$ 3,278.83
16/01/2020;$ 3,296.74
17/01/2020;$ 3,313.40
18/01/2020;$ 3,320.77
19/01/2020;$ 3,320.77
20/01/2020;$ 3,320.77
21/01/2020;$ 3,320.77
22/01/2020;$ 3,347.91
23/01/2020;$ 3,337.77
24/01/2020;$ 3,353.76
25/01/2020;$ 3,366.01
26/01/2020;$ 3,366.01
27/01/2020;$ 3,366.01
28/01/2020;$ 3,398.40
29/01/2020;$ 3,392.60
30/01/2020;$ 3,395.10
31/01/2020;$ 3,411.45
01/02/2020;$ 3,423.24
02/02/2020;$ 3,423.24
03/02/2020;$ 3,423.24
04/02/2020;$ 3,401.56
05/02/2020;$ 3,368.87
06/02/2020;$ 3,355.44
07/02/2020;$ 3,378.43
08/02/2020;$ 3,408.35
09/02/2020;$ 3,408.35
10/02/2020;$ 3,408.35
11/02/2020;$ 3,440.96
12/02/2020;$ 3,432.89
13/02/2020;$ 3,394.80
14/02/2020;$ 3,385.11
15/02/2020;$ 3,378.29
16/02/2020;$ 3,378.29
17/02/2020;$ 3,378.29
18/02/2020;$ 3,378.29
19/02/2020;$ 3,410.24
20/02/2020;$ 3,400.98
21/02/2020;$ 3,403.50
22/02/2020;$ 3,398.05
23/02/2020;$ 3,398.05
24/02/2020;$ 3,398.05
25/02/2020;$ 3,431.60
26/02/2020;$ 3,425.22
27/02/2020;$ 3,441.88
28/02/2020;$ 3,507.11
29/02/2020;$ 3,539.86
01/03/2020;$ 3,539.86
02/03/2020;$ 3,539.86
03/03/2020;$ 3,512.17
04/03/2020;$ 3,455.56
05/03/2020;$ 3,458.45
06/03/2020;$ 3,522.41
07/03/2020;$ 3,584.58
08/03/2020;$ 3,584.58
09/03/2020;$ 3,584.58
10/03/2020;$ 3,803.60
11/03/2020;$ 3,780.39
12/03/2020;$ 3,835.15
13/03/2020;$ 4,034.66
14/03/2020;$ 3,941.92
15/03/2020;$ 3,941.92
16/03/2020;$ 3,941.92
17/03/2020;$ 4,099.93
18/03/2020;$ 4,044.55
19/03/2020;$ 4,128.38
20/03/2020;$ 4,153.91
21/03/2020;$ 4,079.96
22/03/2020;$ 4,079.96
23/03/2020;$ 4,079.96
24/03/2020;$ 4,079.96
25/03/2020;$ 4,104.90
26/03/2020;$ 4,086.34
27/03/2020;$ 3,995.83
28/03/2020;$ 4,042.80
29/03/2020;$ 4,042.80
30/03/2020;$ 4,042.80
31/03/2020;$ 4,064.81
01/04/2020;$ 4,054.54
02/04/2020;$ 4,081.06
03/04/2020;$ 4,065.50
04/04/2020;$ 4,008.78
05/04/2020;$ 4,008.78
06/04/2020;$ 4,008.78
07/04/2020;$ 3,978.38
08/04/2020;$ 3,910.15
09/04/2020;$ 3,886.79
10/04/2020;$ 3,886.79
11/04/2020;$ 3,886.79
12/04/2020;$ 3,886.79
13/04/2020;$ 3,886.79
14/04/2020;$ 3,870.31
15/04/2020;$ 3,858.21
16/04/2020;$ 3,920.83
17/04/2020;$ 3,942.92
18/04/2020;$ 3,973.06
19/04/2020;$ 3,973.06
20/04/2020;$ 3,973.06
21/04/2020;$ 3,967.76
22/04/2020;$ 4,045.01
23/04/2020;$ 4,037.95
24/04/2020;$ 4,020.94
25/04/2020;$ 4,039.87
26/04/2020;$ 4,039.87
