Fecha;Tasa a 1Y;Tasa a 5Y;Tasa a 10Y
02/01/2003;10.75;15.42;14.69
03/01/2003;10.46;15.44;14.47
07/01/2003;10.68;15.10;15.57
08/01/2003;10.23;15.57;14.63
09/01/2003;10.32;15.33;15.54
10/01/2003;10.09;15.33;15.35
13/01/2003;9.59;15.36;15.28
14/01/2003;9.69;14.83;16.01
15/01/2003;9.40;14.98;14.95
16/01/2003;9.68;14.96;15.15
17/01/2003;9.58;15.20;15.34
20/01/2003;10.55;15.06;16.15
21/01/2003;10.59;15.57;15.85
22/01/2003;10.36;16.11;15.73
23/01/2003;10.24;16.05;15.40
24/01/2003;10.65;15.81;16.37
27/01/2003;10.67;15.90;14.50
28/01/2003;10.68;15.62;16.46
29/01/2003;10.58;15.77;15.90
30/01/2003;10.39;15.70;14.66
31/01/2003;10.32;15.38;15.89
03/02/2003;10.45;15.76;15.08
04/02/2003;10.32;15.45;16.30
05/02/2003;10.56;15.52;16.04
06/02/2003;10.73;16.09;16.26
07/02/2003;10.73;15.90;16.20
10/02/2003;10.88;15.83;16.83
11/02/2003;11.04;15.94;16.52
12/02/2003;10.58;15.86;16.09
13/02/2003;10.56;15.98;15.76
14/02/2003;10.55;15.95;15.64
17/02/2003;10.42;15.52;16.15
18/02/2003;10.45;15.75;15.19
19/02/2003;10.44;15.79;15.75
20/02/2003;10.52;15.84;16.25
21/02/2003;10.73;16.00;15.70
24/02/2003;10.71;16.09;16.40
25/02/2003;10.69;16.23;16.41
26/02/2003;10.68;15.89;16.32
27/02/2003;10.78;16.27;16.23
28/02/2003;10.85;16.21;16.10
03/03/2003;10.81;16.03;16.86
04/03/2003;10.75;16.37;16.10
05/03/2003;10.81;16.33;15.17
06/03/2003;10.29;15.87;16.90
07/03/2003;10.62;16.38;15.91
10/03/2003;10.35;15.93;16.71
11/03/2003;10.36;15.96;16.92
12/03/2003;10.50;15.94;16.38
13/03/2003;10.51;16.13;16.61
14/03/2003;10.54;16.03;16.20
17/03/2003;10.54;15.76;16.46
18/03/2003;10.52;15.93;16.56
19/03/2003;10.43;16.01;16.90
20/03/2003;10.12;15.75;16.83
21/03/2003;10.37;15.53;16.85
25/03/2003;10.29;15.85;16.76
26/03/2003;10.11;16.13;16.28
27/03/2003;10.11;16.28;16.07
28/03/2003;10.09;15.87;16.84
31/03/2003;10.11;16.03;14.55
01/04/2003;10.20;15.90;16.84
02/04/2003;11.93;15.87;17.16
03/04/2003;10.51;16.28;16.82
04/04/2003;10.62;16.23;16.90
07/04/2003;10.60;16.06;17.13
08/04/2003;10.59;16.17;16.94
09/04/2003;10.29;16.27;16.49
10/04/2003;10.32;15.36;13.00
11/04/2003;11.26;15.78;16.25
14/04/2003;12.28;15.75;17.08
15/04/2003;10.26;16.00;16.93
16/04/2003;10.09;16.10;17.15
21/04/2003;10.86;15.66;13.09
22/04/2003;10.65;15.75;13.57
23/04/2003;10.59;16.03;16.76
24/04/2003;10.48;15.95;16.30
25/04/2003;10.61;16.12;17.57
28/04/2003;10.41;15.91;14.32
29/04/2003;10.54;15.72;16.60
30/04/2003;10.27;15.34;16.18
02/05/2003;10.36;15.30;16.03
05/05/2003;10.13;15.15;16.01
06/05/2003;10.11;14.79;15.60
07/05/2003;10.07;14.70;15.51
08/05/2003;9.75;14.29;15.01
09/05/2003;9.97;14.11;15.00
12/05/2003;9.72;13.78;14.88
13/05/2003;9.68;14.09;14.46
14/05/2003;11.27;14.26;15.24
15/05/2003;9.95;15.09;14.65
16/05/2003;11.09;14.78;15.95
19/05/2003;10.44;16.14;16.37
20/05/2003;10.48;16.01;16.21
21/05/2003;10.49;14.97;15.97
22/05/2003;10.31;15.30;15.85
23/05/2003;10.16;14.63;15.72
26/05/2003;10.25;14.61;15.47
27/05/2003;10.17;14.69;15.52
28/05/2003;10.24;14.74;15.53
29/05/2003;10.36;14.59;15.48
30/05/2003;10.12;14.67;14.97
03/06/2003;10.14;14.51;15.20
04/06/2003;10.23;14.68;16.13
05/06/2003;10.31;14.47;15.52
06/06/2003;10.22;14.23;14.94
09/06/2003;10.37;14.42;15.37
10/06/2003;10.37;14.62;15.71
11/06/2003;10.22;14.55;15.67
12/06/2003;10.16;14.65;15.67
13/06/2003;10.16;14.56;15.72
16/06/2003;10.15;14.53;15.83
17/06/2003;9.95;14.65;15.82
18/06/2003;9.86;14.61;15.53
19/06/2003;9.93;14.48;15.72
20/06/2003;10.57;14.28;15.32
24/06/2003;9.90;14.30;15.47
25/06/2003;9.89;14.19;15.43
26/06/2003;9.85;14.12;15.18
27/06/2003;10.21;14.12;15.23
01/07/2003;9.97;14.08;14.89
02/07/2003;9.95;13.99;14.94
03/07/2003;9.99;14.03;15.03
04/07/2003;10.02;13.99;14.95
07/07/2003;10.10;14.10;14.95
08/07/2003;10.27;14.24;15.45
09/07/2003;10.25;14.23;15.43
10/07/2003;10.18;14.20;15.42
11/07/2003;10.12;14.17;15.47
14/07/2003;10.18;14.28;15.61
15/07/2003;10.23;14.40;15.68
16/07/2003;10.26;14.38;15.68
17/07/2003;10.19;14.56;15.59
18/07/2003;10.01;14.43;15.64
