Fecha;COP_x_UVR;Var_anual_porcentual
01/01/2000;$ 103.3396;
02/01/2000;$ 103.3556;
03/01/2000;$ 103.3715;
04/01/2000;$ 103.3875;
05/01/2000;$ 103.4035;
06/01/2000;$ 103.4195;
07/01/2000;$ 103.4354;
08/01/2000;$ 103.4514;
09/01/2000;$ 103.4674;
10/01/2000;$ 103.4834;
11/01/2000;$ 103.4994;
12/01/2000;$ 103.5153;
13/01/2000;$ 103.5313;
14/01/2000;$ 103.5473;
15/01/2000;$ 103.5633;
16/01/2000;$ 103.5810;
17/01/2000;$ 103.5986;
18/01/2000;$ 103.6163;
19/01/2000;$ 103.6340;
20/01/2000;$ 103.6516;
21/01/2000;$ 103.6693;
22/01/2000;$ 103.6870;
23/01/2000;$ 103.7047;
24/01/2000;$ 103.7224;
25/01/2000;$ 103.7400;
26/01/2000;$ 103.7577;
27/01/2000;$ 103.7754;
28/01/2000;$ 103.7931;
29/01/2000;$ 103.8108;
30/01/2000;$ 103.8285;
31/01/2000;$ 103.8462;
01/02/2000;$ 103.8639;
02/02/2000;$ 103.8817;
03/02/2000;$ 103.8994;
04/02/2000;$ 103.9171;
05/02/2000;$ 103.9348;
06/02/2000;$ 103.9525;
07/02/2000;$ 103.9703;
08/02/2000;$ 103.9880;
09/02/2000;$ 104.0057;
10/02/2000;$ 104.0235;
11/02/2000;$ 104.0412;
12/02/2000;$ 104.0589;
13/02/2000;$ 104.0767;
14/02/2000;$ 104.0944;
15/02/2000;$ 104.1122;
16/02/2000;$ 104.1582;
17/02/2000;$ 104.2043;
18/02/2000;$ 104.2503;
19/02/2000;$ 104.2964;
20/02/2000;$ 104.3425;
21/02/2000;$ 104.3887;
22/02/2000;$ 104.4348;
23/02/2000;$ 104.4810;
24/02/2000;$ 104.5272;
25/02/2000;$ 104.5734;
26/02/2000;$ 104.6196;
27/02/2000;$ 104.6659;
28/02/2000;$ 104.7121;
29/02/2000;$ 104.7584;
01/03/2000;$ 104.8047;
02/03/2000;$ 104.8511;
03/03/2000;$ 104.8974;
04/03/2000;$ 104.9438;
05/03/2000;$ 104.9902;
06/03/2000;$ 105.0366;
07/03/2000;$ 105.0830;
08/03/2000;$ 105.1295;
09/03/2000;$ 105.1760;
10/03/2000;$ 105.2225;
11/03/2000;$ 105.2690;
12/03/2000;$ 105.3155;
13/03/2000;$ 105.3621;
14/03/2000;$ 105.4086;
15/03/2000;$ 105.4552;
16/03/2000;$ 105.5326;
17/03/2000;$ 105.6100;
18/03/2000;$ 105.6875;
19/03/2000;$ 105.7651;
20/03/2000;$ 105.8427;
21/03/2000;$ 105.9204;
22/03/2000;$ 105.9981;
23/03/2000;$ 106.0759;
24/03/2000;$ 106.1537;
25/03/2000;$ 106.2316;
26/03/2000;$ 106.3095;
27/03/2000;$ 106.3876;
28/03/2000;$ 106.4656;
29/03/2000;$ 106.5437;
30/03/2000;$ 106.6219;
31/03/2000;$ 106.7002;
01/04/2000;$ 106.7785;
02/04/2000;$ 106.8568;
03/04/2000;$ 106.9352;
04/04/2000;$ 107.0137;
05/04/2000;$ 107.0922;
06/04/2000;$ 107.1708;
07/04/2000;$ 107.2495;
08/04/2000;$ 107.3282;
09/04/2000;$ 107.4069;
10/04/2000;$ 107.4857;
11/04/2000;$ 107.5646;
12/04/2000;$ 107.6435;
13/04/2000;$ 107.7225;
14/04/2000;$ 107.8016;
15/04/2000;$ 107.8807;
16/04/2000;$ 107.9417;
17/04/2000;$ 108.0027;
18/04/2000;$ 108.0638;
19/04/2000;$ 108.1249;
20/04/2000;$ 108.1860;
